SampleID,I,II,III,IV,V,Farm,Distance,Station,Rep,Sandfine,Silt,Clay,MO,TFS,TN,TOC,bMBI_JA,bMBI_keely,bMBI_borja
Ext_500m_1_a,55.13157894736842,8.980263157894736,23.766447368421055,5.641447368421053,6.480263157894736,Farm 1,500 m,1,a,0.258918919,11.73189189,88.00918919,7.210305797,91.33440445,0.136507303,1.295206666,1.0486218385753245,1.907401315789474,1.4903782894736843
Ext_500m_1_b,56.00811221902992,5.4588473888795,24.809869866486395,4.377218184890992,9.3459523407132,Farm 1,500 m,1,b,0.209375,30.47552083,69.31510417,9.868289263,354.8614903,0.133341789,1.464496017,1.1710137246398755,2.166553996957918,1.583910765590671
Ext_500m_1_c,52.611585944919284,9.914529914529915,24.881291547958213,6.001899335232669,6.5906932573599235,Farm 1,500 m,1,c,0.21719457,28.56289593,71.2199095,9.007553596,82.52716775,0.15014334,1.533793807,1.0974853006996177,1.9861348528015192,1.5606837606837607
Ext_50m_1_a,14.347726753484121,0.9595613433858807,5.437514279186657,21.909984007310943,57.34521361663239,Farm 1,50 m,1,a,0.786341463,10.92097561,87.87707317,9.233727926,427.9162698,0.159153491,1.716164112,3.885989775831852,8.154443682887822,4.604180945853324
Ext_50m_1_b,24.98759305210918,2.903225806451613,6.823821339950372,24.640198511166254,40.64516129032258,Farm 1,50 m,1,b,1.047208122,7.520812183,91.4319797,15.33440203,438.0475846,0.142884761,1.405229807,2.9085431691643,6.357692307692307,3.7957816377171216
Ext_50m_1_c,12.014453477868111,1.4152363745859682,4.426377597109305,19.933754893104485,62.21017765733213,Farm 1,50 m,1,c,0.515822785,16.04556962,83.43860759,7.778342654,398.9066961,0.18189086,1.811648011,4.171995302115384,8.61592893706715,4.783649503161699
Ext_Control_1_a,65.41813898704359,7.962308598351001,20.141342756183743,1.9316843345111898,4.546525323910483,Farm 1,Control,1,a,0.367251462,24.18187135,75.45087719,8.853441314,34.18296926,0.110954307,1.296882033,0.8131981881785234,1.365842167255595,1.08339222614841
Ext_Control_1_b,63.226028181922324,8.660785886126703,20.08248367510597,1.500744644289151,6.529957612555847,Farm 1,Control,1,b,0.385344828,9.481034483,88.77887931,6.957479351,47.06490212,0.149187282,1.554084897,0.9491485426313099,1.5910184442662387,1.1917172642914422
Ext_Control_1_c,62.74285714285715,8.814285714285715,17.757142857142856,2.471428571428571,8.214285714285714,Farm 1,Control,1,c,0.356756757,22.27837838,77.36486486,8.430595516,42.85950948,0.155118853,1.781146765,1.022435681371347,1.7742142857142857,1.269
Ext_Control_2_a,65.09156311314584,9.990189666448659,16.530412034009156,2.1255722694571615,6.262262916939177,Farm 1,Control,2,a,0.661450382,5.835877863,93.50267176,8.888620634,127.7311348,0.141597167,1.683056474,0.8969040379868822,1.5035153695225636,1.1171517331589274
Ext_Control_2_b,60.010697093956146,7.98716348725263,18.969513282224995,2.8525583883045105,10.180067748261722,Farm 1,Control,2,b,0.396703297,32.00824176,67.4543956,10.40723982,45.26470299,0.143737644,1.584332585,1.1557940075239053,2.0531288999821715,1.4280620431449456
Ext_Control_2_c,62.280831000442014,9.282451745984972,21.290702814203623,2.755267423014587,4.390747016354796,Farm 1,Control,2,c,0.352325581,17.70988372,81.9377907,10.8395999,34.45063898,0.174883559,1.988975406,0.8566277050496176,1.442610873729188,1.1653897156328274
Ext_Control_3_a,70.2308472856418,7.331303906646372,19.30492135971588,1.36986301369863,1.763064434297311,Farm 1,Control,3,a,0.734078212,28.76089385,70.39385475,10.40557952,24.25269015,0.133,1.798886657,0.6045024788821413,0.9691780821917808,0.856544901065449
Ext_Control_3_b,62.730764465369845,10.38285218684178,21.682567215958372,1.6850452236401932,3.5187709081898153,Farm 1,Control,3,b,0.423888889,19.71555556,79.38388889,11.66629112,203.9607443,0.143326402,1.830131173,0.823411925334272,1.3127245694461656,1.0931730888365754
Ext_Control_3_c,72.58485639686684,6.875543951261967,11.96692776327241,1.4650420655642589,7.1076298230345225,Farm 1,Control,3,c,0.339664804,18.0547486,81.60558659,7.612932081,16.67861809,0.158283621,2.004050493,0.7989374162348309,1.3883086742094577,0.9545256744995649
Int_0m_1_a,10.345953002610967,0,0.7506527415143603,45.626631853785895,43.27676240208878,Farm 2,0 m,1,a,1.339823009,3.444690265,85.8420354,7.491027508,110.1372753,0.127531409,1.158854723,3.045126032131937,7.497062663185379,4.672323759791123
Int_0m_1_b,2.579821200510856,0,0.22988505747126436,42.017879948914434,55.172413793103445,Farm 2,0 m,1,b,2.42080292,6.48649635,88.69854015,8.316834165,278.641928,0.139443383,1.144165039,3.7666306173310122,8.728480204342274,5.208045977011494
Int_0m_1_c,2.1228417775261814,0,0.22643645626945935,47.43843758845174,50.21228417775262,Farm 2,0 m,1,c,4.579622642,11.22339623,76.48415094,10.61054899,289.7236522,0.216900885,1.475636601,3.487906403758406,8.404189074440986,5.154259835833569
Int_0m_2_a,1.256168685509197,0,0.8972633467922835,23.553162853297444,74.29340511440108,Farm 2,0 m,2,a,3.861904762,8.930769231,80.12747253,9.84773336,500.1597489,0.096,0.797446132,4.869538876714447,10.11978465679677,5.544414535666218
